Ref,Val,Package,PosX,PosY,Rot,Side
"J1","DB23F","DSUB-23_Female_EdgeMount_P2.77mm",102.523280,-89.454920,270.000000,top
"J3","DB23M","DSUB-23_Male_EdgeMount_P2.77mm",142.579280,-89.654920,90.000000,top
